iter	Logloss	Accuracy
155	0.3263285292	0.875
156	0.3254209686	0.8764044944
157	0.3253995408	0.8764044944
158	0.3241759491	0.8764044944
159	0.3241321382	0.8778089888
160	0.323905337	0.8764044944
161	0.3234484622	0.8778089888
162	0.3232084276	0.8778089888
163	0.3227629369	0.8778089888
164	0.3223381499	0.8806179775
165	0.3221786174	0.8806179775
166	0.3216865215	0.8806179775
167	0.3216462611	0.8806179775
168	0.3211655098	0.8806179775
169	0.3208456078	0.8806179775
170	0.3203274491	0.8806179775
171	0.3200564758	0.8806179775
172	0.3197965128	0.8820224719
173	0.319581795	0.8834269663
174	0.3194513038	0.8834269663
175	0.3192748674	0.8834269663
176	0.3187876408	0.8848314607
177	0.3187861787	0.8848314607
178	0.3181910413	0.8848314607
179	0.3181339092	0.8848314607
180	0.3172142415	0.8834269663
181	0.316659507	0.8834269663
182	0.3162980487	0.8834269663
183	0.3159419186	0.8834269663
184	0.3152738606	0.8848314607
185	0.3149012366	0.8848314607
186	0.3145601472	0.8862359551
187	0.3144616882	0.8862359551
188	0.3142158983	0.88623595518189	0.3134861177	0.88189	0.335190	0.31267674190	0.3346341957191	0.31224766191	0.334276409192	0.312219671192	0.33413333193	0.3121848458193	0.3336236194	0.3114817152	194	0.333440195	0.3110746524	0195	0.33316196	0.3109669742	0196	0.333114197	0.3107618559	0197	0.332782198	0.3104547344	198	0.332576199	0.3100500485	0199	0.332210200	0.3099769849	0200	0.331951201	0.3099192831	0201	0.331132202	0.3095786193	0202	0.33091203	0.3091589139	0.203	0.3302204	0.3085988385	0.8204	0.329205	0.3085513899	0.89205	0.32206	0.3075883414	0.894206	0.32207	0.3074078581	0.89207	0.328208	0.3070551408	0.89208	0.327209	0.3066554205	0.8209	0.3274210	0.3061734503	0.8210	0.3270211	0.3059181034	0.8211	0.3266212	0.3057848401	0.8212	0.3263213	0.3054311247	0.8213	0.3260214	0.3053380449	0.8214	0.3254215	0.3049859503	0.8215	0.3251216	0.3046389655	0.8216	0.3245217	0.3040007632	0.8217	0.3239218	0.3032861253	0.8218	0.3239219	0.3029019026	0.8219	0.3234220	0.3027408301	0.8220	0.3234221	0.302546086	0.89221	0.323222	0.3022959022	0.89222	0.323223	0.3013343871	0.90223	0.322224	0.3005789331	0.90224	0.322225	0.2997634609	0.90225	0.322226	0.2996829007	0.90226	0.322227	0.2995399968	0.90227	0.321228	0.2989039895	0.90228	0.321229	0.2988335792	0.90229	0.321230	0.2986046507	0.90230	0.321231	0.2984846279	0.90231	0.321232	0.2983090901	0.90232	0.321233	0.2981645237	0.90233	0.320234	0.2978567396	0.90234	0.320235	0.2975536717	0.90235	0.320236	0.2971799471	0.90236	0.32237	0.2971799402	0.904237	0.3238	0.2966945202	0.904238	0.3239	0.296545766	0.90449239	0240	0.296300921	0.9044943240241	0.2959508846	0.9044943824242	0.2957766099	0.9044943822243	0.2949994761	0.904494382
244	0.2948519466	0.904494382
245	0.2947908997	0.904494382
246	0.2942635141	0.904494382
247	0.2937762151	0.904494382
248	0.2935210931	0.904494382
249	0.2927145073	0.9058988764
250	0.2924079093	0.9058988764
251	0.2921431735	0.9058988764
252	0.2918407917	0.9058988764
253	0.2917219937	0.9058988764
254	0.2903530993	0.9058988764
255	0.2898294706	0.9058988764
256	0.2896931859	0.9058988764
257	0.2894144845	0.9058988764
258	0.2892427406	0.9058988764
259	0.2885153682	0.9058988764
260	0.2883442575	0.9058988764
261	0.2882027758	0.9058988764
262	0.2879656583	0.9058988764
263	0.2875479099	0.9058988764
264	0.2872784283	0.904494382
265	0.2872431657	0.904494382
266	0.2869263935	0.904494382
267	0.2868089627	0.9030898876
268	0.2862989364	0.9030898876
269	0.2859625251	0.904494382
270	0.2849368189	0.904494382
271	0.2847703937	0.904494382
272	0.2843533388	0.9030898876
273	0.2841053057	0.9030898876
274	0.2840275301	0.9030898876
275	0.283656881	0.9058988764
276	0.2835178256	0.9058988764
277	0.2832545871	0.9073033708
278	0.2830883785	0.9073033708
279	0.2816734355	0.9073033708
280	0.281612311	0.9073033708
281	0.281390037	0.9073033708
282	0.2807998551	0.9073033708
283	0.2803403629	0.9073033708
284	0.2801042609	0.9073033708
285	0.2799749172	0.9073033708
286	0.2797816123	0.9073033708
287	0.2795784285	0.9058988764
288	0.2791962647	0.9058988764
289	0.2789314424	0.9058988764
290	0.278847953	0.9058988764
291	0.2784459847	0.9058988764
292	0.2775240841	0.9058988764
293	0.2774262546	0.9058988764
294	0.277153032	0.9058988764
295	0.2771129315	0.9058988764
